name,docket,claim
Albright v. Oliver,92-833,Prosecuting someone without a good reason to believe they committed a crime does not violate constitutional fairness rules.
Albright v. Oliver,92-833,You cannot sue the government under federal law for prosecuting you without a good reason to believe you committed a crime based on fairness rules.
Albright v. Oliver,92-833,The Constitution does not protect people from being prosecuted without a good reason to believe they committed a crime.
"Oregon Waste Systems, Inc. v. Oregon Department of Environmental Quality",93-70,States cannot charge higher fees for products from other states than for similar products made within the state.
"Oregon Waste Systems, Inc. v. Oregon Department of Environmental Quality",93-70,"If a state charges more for out-of-state products, it must prove there's no other way to solve the problem without treating them worse."
"Oregon Waste Systems, Inc. v. Oregon Department of Environmental Quality",93-70,Laws that make it more expensive to bring goods from other states are not allowed by the Constitution unless the state has a valid reason that can't be addressed another way.
Consolidated Rail Corporation v. Gottshall,92-1956,Emotional stress alone is not enough to sue under FELA; physical injury caused by the stress is required.
Consolidated Rail Corporation v. Gottshall,92-1956,Employers cannot be held responsible for emotional stress claims unless the stress results in physical harm.
Consolidated Rail Corporation v. Gottshall,92-1956,FELA does not allow claims for emotional stress just because it was foreseeable; physical injury must be proven.
Consolidated Rail Corporation v. Gottshall,92-1956,"To win a FELA case for emotional stress, an employee must show that the stress caused physical injury."
"C & A Carbone, Inc. v. Town of Clarkstown",92-1402,Local governments cannot require all waste to be processed at a single facility if it stops companies from other states from competing.
"C & A Carbone, Inc. v. Town of Clarkstown",92-1402,Laws that favor local waste processing businesses over those from other states are illegal under federal law.
"C & A Carbone, Inc. v. Town of Clarkstown",92-1402,"If a local rule affects businesses from other states, the government must prove it's necessary for a legitimate local reason."
"C & A Carbone, Inc. v. Town of Clarkstown",92-1402,Municipalities cannot create exclusive waste processing arrangements that block competition from other states.
"Harris v. Forklift Systems, Inc.",92-1168,Title VII prohibits sexual harassment that creates a hostile or abusive workplace even if no psychological harm occurs.
"Harris v. Forklift Systems, Inc.",92-1168,"Whether a workplace is hostile or abusive under Title VII depends on whether a reasonable person would find the conduct hostile or offensive, not on the victim's psychological state."
United States v. Alvarez-Sanchez,92-1812,Federal law that restricts confessions after six hours of detention only applies when the detention is for a federal crime.
United States v. Alvarez-Sanchez,92-1812,"The six-hour time limit for federal confessions begins when a person is arrested for a federal offense, not for any prior state charges."
United States v. Alvarez-Sanchez,92-1812,"If a person is held only on state charges, federal law does not require that their confessions be made within six hours to be admissible in federal court."
BFP v. Resolution Trust Corporation,92-1370,"A foreclosure sale price is considered reasonable under federal law if the sale followed all state legal requirements, even if the price is lower than the property's market value."
BFP v. Resolution Trust Corporation,92-1370,Federal law does not require a foreclosure sale price to equal the property's market value to be valid.
"Central Bank of Denver , N. A. v. First Interstate Bank of Denver , N. A.",92-854,The Securities Exchange Act of 1934 does not allow private lawsuits against people who only helped others commit securities fraud.
"Central Bank of Denver , N. A. v. First Interstate Bank of Denver , N. A.",92-854,Only individuals or companies that directly carry out deceptive or manipulative trading practices can be held liable under this law.
"Central Bank of Denver , N. A. v. First Interstate Bank of Denver , N. A.",92-854,"Congress did not include aiding and abetting as a violation in the Securities Exchange Act of 1934, so courts cannot impose liability for it in private cases."
"Central Bank of Denver , N. A. v. First Interstate Bank of Denver , N. A.",92-854,"To be sued under the Securities Exchange Act of 1934 for fraud, a person must have personally engaged in the fraudulent activity."
Associated Industries of Missouri v. Lohman,93-397,It is illegal for a state to tax out-of-state purchases at a higher rate than in-state purchases within the same locality.
Associated Industries of Missouri v. Lohman,93-397,"If a state's use tax rate exceeds the local sales tax rate in a specific area, it unfairly taxes out-of-state purchases more than in-state purchases there."
Associated Industries of Missouri v. Lohman,93-397,A state tax that discriminates in some areas does not need to be canceled entirely; only the parts causing discrimination must be fixed.
Associated Industries of Missouri v. Lohman,93-397,States must adjust their tax rates in localities where the use tax is higher than local sales tax to prevent unfair treatment of interstate commerce.
Beecham v. United States,93-445,Only federal authorities can restore the right to possess a firearm for individuals convicted under federal law.
Beecham v. United States,93-445,State governments cannot restore firearm possession rights for people convicted under federal law.
Beecham v. United States,93-445,Federal firearm laws require that civil rights restoration for a conviction must come from the same jurisdiction that issued the conviction.
Farmer v. Brennan,92-7247,Prison officials can be held legally responsible if they knew a prisoner was in serious danger and did nothing to help.
Farmer v. Brennan,92-7247,A prisoner must prove that prison staff knew about a specific danger before they can win a lawsuit over unsafe conditions.
Farmer v. Brennan,92-7247,The Constitution requires prison officials to act when they know of a serious risk to a prisoner's safety.
Farmer v. Brennan,92-7247,"Prison officials do not have to prevent every possible harm, but they must address known serious risks."
"Fogerty v. Fantasy, Inc.",92-1750,Courts can choose whether to make the losing party pay the winning party's legal fees when the law allows it.
"Fogerty v. Fantasy, Inc.",92-1750,Courts must treat winning plaintiffs and winning defendants equally when deciding on legal fees.
"Fogerty v. Fantasy, Inc.",92-1750,Laws that let courts award legal fees do not force them to do so in every case.
"Digital Equipment Corporation v. Desktop Direct, Inc.",93-405,A settlement agreement does not allow an immediate appeal if a court cancels it.
"Digital Equipment Corporation v. Desktop Direct, Inc.",93-405,"Only specific legal immunities, like double jeopardy protection or immunity for government officials, permit immediate appeals when denied."
"Digital Equipment Corporation v. Desktop Direct, Inc.",93-405,"Federal courts typically require a case to be fully decided before hearing appeals, except for certain immunity issues."
"Digital Equipment Corporation v. Desktop Direct, Inc.",93-405,A court's decision to cancel a settlement agreement and require a trial is not enough to appeal immediately under federal law.
"Ibanez v. Florida Dept. of Business and Professional Regulation, Bd. of Accountancy",93-639,Truthful advertising about professional qualifications is protected by the First Amendment and cannot be banned by the government.
"Ibanez v. Florida Dept. of Business and Professional Regulation, Bd. of Accountancy",93-639,The government must prove that advertising is false or misleading before it can legally restrict it.
"Ibanez v. Florida Dept. of Business and Professional Regulation, Bd. of Accountancy",93-639,"If a person has a valid license or certification, advertising that fact is not considered deceptive."
"Ibanez v. Florida Dept. of Business and Professional Regulation, Bd. of Accountancy",93-639,"Restrictions on advertising must be based on actual deception, not just possible confusion."
Stansbury v. California,93-5770,Police officers' personal thoughts about whether someone is a suspect do not affect whether Miranda warnings are required.
Stansbury v. California,93-5770,"Whether a person is in custody for Miranda purposes depends on how a reasonable person would feel in that situation, not what police think."
Stansbury v. California,93-5770,"If a reasonable person would believe they cannot leave during questioning, Miranda warnings must be given before any statements are made."
Stansbury v. California,93-5770,Police cannot avoid giving Miranda warnings just because they did not consider the person a suspect.
"Honda Motor Company, Ltd. v. Oberg",93-644,The law requires that judges can review jury awards to ensure they are fair and reasonable.
"Honda Motor Company, Ltd. v. Oberg",93-644,States cannot pass laws that stop judges from reviewing jury awards.
"Honda Motor Company, Ltd. v. Oberg",93-644,"If a jury's award is too high, the law allows a judge to reduce it to a fair amount."
"ABF Freight Systems, Inc. v. National Labor Relations Board",92-1550,The government agency that handles workplace disputes can decide to reinstate an employee who lied under oath.
"ABF Freight Systems, Inc. v. National Labor Relations Board",92-1550,The law does not require the agency to automatically reject reinstatement for employees who lied under oath.
"ABF Freight Systems, Inc. v. National Labor Relations Board",92-1550,The agency has the authority to consider the details of each case when deciding whether to reinstate someone who lied under oath.
"ABF Freight Systems, Inc. v. National Labor Relations Board",92-1550,"The agency's main job is to resolve labor issues, not to handle every credibility dispute."
"ABF Freight Systems, Inc. v. National Labor Relations Board",92-1550,A false statement under oath does not automatically prevent an employee from being reinstated.
United States v. Granderson,92-1662,"When a person on probation tests positive for illegal drugs, the prison sentence they receive must be calculated using the maximum possible prison term from the sentencing guidelines, not the length of the probation period."
United States v. Granderson,92-1662,"If a criminal law has unclear language, courts must interpret it in favor of the person being punished to avoid unfairness."
United States v. Granderson,92-1662,"The law treats 'probation sentence' and 'original sentence' as different terms, so 'original sentence' means the prison range set by sentencing guidelines."
United States v. Granderson,92-1662,"For probation violations involving drugs, the new prison sentence must be at least one-third of the maximum prison term allowed by the guidelines and cannot exceed that maximum."
"West Lynn Creamery, Inc. v. Healy",93-141,States cannot require sellers to pay fees that only benefit local businesses.
"West Lynn Creamery, Inc. v. Healy",93-141,It's unconstitutional for a state to use money paid by out-of-state businesses to support only local businesses.
"West Lynn Creamery, Inc. v. Healy",93-141,It's illegal for a state to tax goods from other states and use the money to help local businesses.
Davis v. United States,92-1949,Police do not have to stop questioning when a suspect makes an unclear request for a lawyer.
Davis v. United States,92-1949,Police must stop questioning immediately if a suspect clearly asks for a lawyer.
Davis v. United States,92-1949,Police are not required to ask for clarification if a suspect's request for a lawyer is unclear.
Simmons v. South Carolina,92-9059,"When the prosecution argues a defendant will be dangerous in the future, the jury must be told that the defendant cannot be paroled."
Simmons v. South Carolina,92-9059,Judges must explain that 'life imprisonment' means no chance of release if the defendant is ineligible for parole and the prosecution discusses future danger.
Simmons v. South Carolina,92-9059,The Constitution requires that juries receive accurate information about a defendant's parole eligibility when the prosecution raises future danger as a factor in sentencing.
"Turner Broadcasting System, Inc. v. Federal Communications Commission",93-44,Government rules that require cable companies to carry certain channels based on how the station is broadcast (like local over-the-air stations) rather than the content of their programming do not violate the First Amendment.
"Turner Broadcasting System, Inc. v. Federal Communications Commission",93-44,Cable companies do not have to change their own programming when required to carry local broadcast stations.
"Turner Broadcasting System, Inc. v. Federal Communications Commission",93-44,Laws that reserve cable channels for local broadcast stations help maintain competition in television and prevent those stations from disappearing without violating the First Amendment.
Heck v. Humphrey,93-6188,A person in prison cannot get money damages for a conviction that has not been overturned.
Heck v. Humphrey,93-6188,"Before filing a federal lawsuit about a conviction's legality, prisoners must complete all state court appeals."
Heck v. Humphrey,93-6188,A federal civil rights lawsuit that challenges a conviction's validity must be dismissed if the conviction has not been overturned.
"Madsen v. Women's Health Center, Inc.",93-880,A small buffer zone around the entrance of a clinic is allowed if it's necessary to keep people safe while entering or leaving.
"Madsen v. Women's Health Center, Inc.",93-880,Buffer zones can't be placed around areas where protests don't interfere with the clinic's operations.
"Madsen v. Women's Health Center, Inc.",93-880,Restricting loud noise near clinics to protect patients' health is allowed.
"Madsen v. Women's Health Center, Inc.",93-880,Banning protesters from showing images that patients can easily look away from violates free speech rights.
"Madsen v. Women's Health Center, Inc.",93-880,Prohibiting people from approaching patients within a large distance around a clinic is not allowed if it's more than needed for safety.
"Madsen v. Women's Health Center, Inc.",93-880,Prohibiting protests near staff homes beyond what's necessary for their safety violates free speech rights.
City of Ladue v. Gilleo,92-1856,The First Amendment protects the right to display signs on your home to share opinions.
City of Ladue v. Gilleo,92-1856,Governments cannot ban most signs on private property because it stops a traditional way of communicating from home.
"Barclay's Bank, PLC v. Franchise Tax Bd. of California",92-1384,"A state does not violate the Due Process Clause by allowing reasonable approximations of financial data for tax purposes, as long as corporations can challenge any inaccuracies in those approximations."
"Barclay's Bank, PLC v. Franchise Tax Bd. of California",92-1384,Imposing a disproportionately large compliance burden on corporations by requiring excessive financial information for tax purposes violates the Commerce Clause's anti-discrimination principle.
American Dredging Company v. Miller,91-1950,States can make laws that prevent defendants from moving a maritime injury case to a different court.
American Dredging Company v. Miller,91-1950,Federal law does not require all states to follow the same rules for moving maritime cases between courts.
American Dredging Company v. Miller,91-1950,The U.S. Constitution does not stop states from setting their own rules about whether maritime injury cases can be moved to another court.
"Babbitt v. Sweet Home Chapter, Communities for a Great Oregon",94-859,Modifying a habitat in a way that kills or injures wildlife is illegal.
"Babbitt v. Sweet Home Chapter, Communities for a Great Oregon",94-859,Actions that harm wildlife don't need to involve direct contact with the animals to be illegal.
"Babbitt v. Sweet Home Chapter, Communities for a Great Oregon",94-859,The law considers even minor or unexpected harm to wildlife from habitat changes as violations.
"Babbitt v. Sweet Home Chapter, Communities for a Great Oregon",94-859,"The law covers all habitat changes that harm wildlife, regardless of how the harm happens."
J.E.B. v. Alabama ex rel T.B.,92-1239,The law says you can't exclude jurors because of their gender.
J.E.B. v. Alabama ex rel T.B.,92-1239,Gender can't be used to assume someone is biased for jury duty.
J.E.B. v. Alabama ex rel T.B.,92-1239,"When picking a jury, gender shouldn't be considered."
J.E.B. v. Alabama ex rel T.B.,92-1239,It's illegal to treat potential jurors differently based on gender.
Rubin v. Coors Brewing Company,93-1631,The government cannot ban truthful information about a product unless the ban directly stops a serious problem.
Rubin v. Coors Brewing Company,93-1631,"If there is a simpler way to solve a problem without restricting speech, the government must use that method instead of banning the information."
Rubin v. Coors Brewing Company,93-1631,A law that blocks truthful product details is invalid if it does not actually prevent the harm it is meant to address.
Rubin v. Coors Brewing Company,93-1631,"When restricting speech, the government must choose the method that affects the least amount of speech possible while still solving the problem."
Ryder v. United States,94-431,"When a defendant challenges a judge's appointment as unconstitutional, the court must rule on the challenge and provide appropriate relief if the appointment was invalid."
Ryder v. United States,94-431,Actions taken by judges who were not properly appointed under the Constitution are not valid if the defendant objected to their appointment in time.
Ryder v. United States,94-431,"If a court panel was improperly formed due to unconstitutional appointments, a higher court's review might not provide all possible relief for the defendant."
Metropolitan Stevedore Company v. Rambo,94-820,"If a worker learns new job skills and earns more money, their disability payments can be reduced even if their physical condition hasn't changed."
Metropolitan Stevedore Company v. Rambo,94-820,"Disability benefits can be adjusted based on changes in how much a worker can earn, even if their physical health hasn't changed."
Metropolitan Stevedore Company v. Rambo,94-820,The law does not require a physical change to adjust disability benefits; changes in earning capacity alone are sufficient.
"Plaut v. Spendthrift Farm, Inc.",93-1121,Congress cannot require federal courts to reopen cases that have already been decided.
"Plaut v. Spendthrift Farm, Inc.",93-1121,"Once a court has made a final decision, Congress cannot pass laws to change that decision."
Asgrow Seed Company v. Winterboer,92-2038,Farmers can only sell protected seed for planting if the amount does not exceed what they need to replant their own fields.
Asgrow Seed Company v. Winterboer,92-2038,"Selling seed that was grown specifically to sell as seed violates the law, even if the buyer is a farmer."
Asgrow Seed Company v. Winterboer,92-2038,The Plant Variety Protection Act exemption does not apply when the main reason for growing the crop is to sell the seed.
"First Options of Chicago, Inc. v. Kaplan",94-560,Courts must decide if a dispute should go to arbitration when the parties did not clearly agree to let arbitrators decide that question.
"First Options of Chicago, Inc. v. Kaplan",94-560,"Higher courts review lower court decisions about arbitration awards using the same standards as other legal cases, not a special rule that makes it harder to reverse the lower court's decision."
Miller v. Johnson,94-631,Using race as the main factor when drawing congressional districts is illegal without a very strong reason.
Miller v. Johnson,94-631,Districts that are oddly shaped and clearly intended to separate voters by race violate the Constitution.
Miller v. Johnson,94-631,Race can only be used in redistricting if it's necessary to comply with federal voting rights laws or to fix past discrimination.
"United States v. X-Citement Video, Inc.",93-723,Distributing materials showing minors in sexual acts is illegal even if you did not know the performers were under 18.
"United States v. X-Citement Video, Inc.",93-723,"The law requires knowing you are distributing pornographic material, but not that the performers are minors."
"American Airlines, Inc. v. Wolens",93-1286,Federal law stops states from using consumer protection laws against airlines for changes to frequent flyer programs.
"American Airlines, Inc. v. Wolens",93-1286,Customers can sue airlines for breach of contract if the airline doesn't follow its own frequent flyer program rules.
"Adarand Constructors, Inc. v. Peña",93-1841,Government programs that use race to give benefits must have a very important reason for doing so.
"Adarand Constructors, Inc. v. Peña",93-1841,Such programs must be designed as precisely as possible to only address that specific problem without unnecessary effects.
"Adarand Constructors, Inc. v. Peña",93-1841,Race alone cannot be used to assume someone is disadvantaged; actual circumstances must be considered.
"Adarand Constructors, Inc. v. Peña",93-1841,"Past discrimination does not automatically mean current discrimination exists, so programs can't use past issues alone to justify race-based preferences."
"Adarand Constructors, Inc. v. Peña",93-1841,Programs that base benefits on economic hardship instead of race face less strict rules.
United States v. National Treasury Employees Union,93-1170,Government employees can accept payment for speeches or articles when the topic and the person paying have no connection to their job duties.
United States v. National Treasury Employees Union,93-1170,The government cannot ban government workers from receiving payment for speaking or writing if the topic and payer are unrelated to their job.
United States v. National Treasury Employees Union,93-1170,Concerns about government employees being influenced don't apply when the topic of their speech and the payer aren't related to their job.
United States v. Aguilar,94-270,Lying to police officers does not automatically make someone guilty of obstructing justice.
United States v. Aguilar,94-270,It is illegal to tell someone about a wiretap even after the wiretap has expired.
Rosenberger v. Rector and Visitors of the University of Virginia,94-329,Public universities must fund religious and secular student publications equally if they fund any.
Rosenberger v. Rector and Visitors of the University of Virginia,94-329,It is illegal for a public university to deny funding to a religious student publication while funding secular ones.
Rosenberger v. Rector and Visitors of the University of Virginia,94-329,Government funding for student publications cannot exclude religious content when non-religious content is funded.
Rosenberger v. Rector and Visitors of the University of Virginia,94-329,Public universities cannot have policies that block funding for religious student publications but allow funding for non-religious ones.
"Hurley v. Irish-American Gay, Lesbian and Bisexual Group of Boston, Inc.",94-749,Private groups organizing events can decide which messages to include.
"Hurley v. Irish-American Gay, Lesbian and Bisexual Group of Boston, Inc.",94-749,The government cannot force private event organizers to include messages they disagree with.
"Hurley v. Irish-American Gay, Lesbian and Bisexual Group of Boston, Inc.",94-749,Private event organizers can exclude groups whose views they don't support.
Wilson v. Arkansas,94-5707,Police must knock and announce before entering a private home.
Wilson v. Arkansas,94-5707,Police can enter without knocking if they have a reasonable belief that announcing would be dangerous or cause evidence to be destroyed.
"Jerome B. Grubart, Inc. v. Great Lakes Dredge & Dock Company",93-762,"Federal courts can handle lawsuits involving accidents that happen on rivers, lakes, or other waterways that boats can use."
"Jerome B. Grubart, Inc. v. Great Lakes Dredge & Dock Company",93-762,"If actions on a waterway that boats can use cause damage to buildings or other land-based property, federal courts can hear the case."
"Jerome B. Grubart, Inc. v. Great Lakes Dredge & Dock Company",93-762,How long ago or how far away the damage occurred does not affect whether federal courts have jurisdiction.
"Jerome B. Grubart, Inc. v. Great Lakes Dredge & Dock Company",93-762,Federal courts have jurisdiction when activities on waterways used by boats affect shipping or commercial navigation.
United States v. Lopez,93-1260,Congress cannot use its power to regulate trade between states to make laws about things that aren't related to business.
United States v. Lopez,93-1260,Federal laws using this power must involve business-related activities that affect trade between states.
United States v. Lopez,93-1260,Local issues that don't impact trade between states can't be regulated by Congress using this power.
United States v. Lopez,93-1260,This power doesn't let Congress regulate personal activities that aren't part of business.
Allied-Bruce Terminix Co. v. Dobson,93-1001,"Arbitration agreements must be enforced in contracts involving interstate commerce, even if the people signing didn't know it involved interstate commerce."
Allied-Bruce Terminix Co. v. Dobson,93-1001,"The Federal Arbitration Act applies to all contracts that have any connection to interstate commerce, no matter how small or local the business seems."
Allied-Bruce Terminix Co. v. Dobson,93-1001,State laws cannot block arbitration agreements in contracts that involve interstate commerce because federal law takes precedence.
Arizona v. Evans,93-1660,"If police arrest someone based on a warrant that's invalid because of a court employee's mistake, the evidence found can still be used in court."
Arizona v. Evans,93-1660,"The rule that keeps evidence out of court is meant to stop police from breaking the law, not to fix mistakes made by court staff."
Arizona v. Evans,93-1660,"Police are not responsible for errors made by court employees, so any evidence found during such arrests is allowed in court."
Arizona v. Evans,93-1660,"When police act in good faith based on court records, evidence found is allowed even if the records had a mistake."
"City of Edmonds v. Oxford House, Inc.",94-23,Zoning rules that set a maximum on the total number of people in a home are exempt from the Fair Housing Act.
"City of Edmonds v. Oxford House, Inc.",94-23,Zoning rules that only limit the number of unrelated people in a home are not exempt from the Fair Housing Act and must follow its anti-discrimination rules.
McIntyre v. Ohio Elections Commission,93-986,The First Amendment protects the right to express political opinions without revealing your identity.
McIntyre v. Ohio Elections Commission,93-986,"This protection applies to all forms of political advocacy, including distributing leaflets or other materials."
McIntyre v. Ohio Elections Commission,93-986,Laws that require people to identify themselves when distributing political materials must serve a very important government purpose and be written to only address that specific issue without restricting more speech than necessary.
Tome v. United States,93-6892,Earlier statements that match what someone says in court can only be used to counter claims of recently making up a story if they were made before the person had a reason to lie.
Tome v. United States,93-6892,Federal evidence rules do not allow using statements made after a person had a reason to lie to defend against claims of recently making up a story.
Tome v. United States,93-6892,Courts cannot admit statements made after a reason to lie arose by weighing how helpful they are against potential harm; the statements must have been made before the reason existed.
Vernonia School District 47J v. Acton,94-590,Schools can require random drug tests for student athletes when the school's safety concerns outweigh the privacy invasion.
Vernonia School District 47J v. Acton,94-590,Students in school sports have less privacy protection than adults outside of school.
Vernonia School District 47J v. Acton,94-590,Urine drug tests are considered a minor privacy issue if the collection is private and results are only shared with school officials.
Vernonia School District 47J v. Acton,94-590,Schools are allowed to test students for drugs to protect their safety when there's a real risk of harm.
Shalala v. Whitecotton,94-372,"For a compensation claim under the National Childhood Vaccine Injury Act, the first symptom of an injury must occur after the vaccination."
Shalala v. Whitecotton,94-372,"If symptoms of an injury existed before the vaccination, the claim is not eligible for compensation."
Shalala v. Whitecotton,94-372,The Vaccine Injury Table lists specific time periods after vaccination during which the first symptoms must appear for a claim to qualify.
Capitol Square Review and Advisory Bd. v. Pinette,94-780,"In public spaces like government plazas that are open for everyone to use, people can express religious views just like any other views."
Capitol Square Review and Advisory Bd. v. Pinette,94-780,Government officials cannot exclude religious speech from public spaces just because it is religious; they must treat all speech equally.
Capitol Square Review and Advisory Bd. v. Pinette,94-780,"If the government restricts speech in a public space, the restriction must be necessary for a very important reason and must be as limited as possible."
Capitol Square Review and Advisory Bd. v. Pinette,94-780,The government cannot deny a permit for religious expression in a public space just to avoid appearing to support a religion.
"Milwaukee v. Cement Div., National Gypsum Co.",94-788,"In maritime collision cases, courts must award prejudgment interest even when both parties share responsibility for the accident."
"Milwaukee v. Cement Div., National Gypsum Co.",94-788,A disagreement about who caused a maritime collision does not allow a court to deny prejudgment interest.
Reynoldsville Casket Company v. Hyde,94-3,"When the Supreme Court declares a law unconstitutional, that law cannot be used in any cases that haven't been finally decided."
Reynoldsville Casket Company v. Hyde,94-3,The Supreme Court's ruling on a law's constitutionality applies to all cases still being processed in court.
Johnson v. Jones,94-455,A court's decision that there's a factual dispute requiring a trial cannot be appealed before the trial ends.
Johnson v. Jones,94-455,Decisions about whether evidence creates a factual dispute are not final and cannot be appealed immediately.
Johnson v. Jones,94-455,Only legal questions can be appealed right away; factual disputes must wait until after the trial is over.
Kyles v. Whitley,93-7927,Prosecutors must share any evidence that could help the person being charged with a crime.
Kyles v. Whitley,93-7927,"When checking if evidence was wrongly kept from the defense, all of it must be considered together as a single group."
Kyles v. Whitley,93-7927,"A conviction can be overturned if the hidden evidence, when viewed as a whole, creates a real possibility the jury would have reached a different decision."
Kyles v. Whitley,93-7927,"The law does not require that hidden evidence would definitely change the outcome, only that it might have affected the result."
Wilton v. Seven Falls Company,94-562,Federal courts don't need to prove the situation is unusual before pausing a federal lawsuit that has a similar case in state court.
Wilton v. Seven Falls Company,94-562,Higher courts check if a federal court's decision to pause a lawsuit was unreasonable.
"U. S. Term Limits, Inc. v. Thornton",93-1456,States cannot add new requirements for members of Congress beyond what the Constitution lists.
"U. S. Term Limits, Inc. v. Thornton",93-1456,States cannot change the requirements for Congress that are already in the Constitution.
"U. S. Term Limits, Inc. v. Thornton",93-1456,Only the U.S. Constitution can set the requirements for Congress; states don't have the authority to do so.
Florida Bar v. Went For It Inc.,94-226,Lawyer advertisements are considered commercial speech and have less protection under the law than other types of speech.
Florida Bar v. Went For It Inc.,94-226,States can prohibit lawyers from sending targeted mail to accident victims for a short time after an accident to prevent them from being pressured.
Florida Bar v. Went For It Inc.,94-226,Rules restricting lawyer advertising must directly protect people from harm and not be more strict than necessary.
Brown v. Gardner,93-1128,Laws that provide compensation for injuries caused by medical treatment do not require proof of negligence or fault unless the law specifically says so.
Brown v. Gardner,93-1128,Regulations cannot add fault or negligence requirements to a law that does not include them in its text.
Brown v. Gardner,93-1128,Government regulations must follow the exact wording of the law they are based on and cannot create new conditions not in the law.
Brown v. Gardner,93-1128,"A regulation that contradicts the law's text is invalid, even if it has been used for many years."
North Star Steel Company v. Thomas,94-834,"When a federal law doesn't specify how long someone has to file a lawsuit, the time limit comes from state law."
North Star Steel Company v. Thomas,94-834,State law is not used for time limits if applying it would conflict with federal law's purpose.
Lockheed Corporation v. Spink,95-809,Businesses can require employees to give up the right to sue over job-related issues in exchange for early retirement benefits.
Lockheed Corporation v. Spink,95-809,Federal retirement benefit laws cannot be applied to cover work done before the law was created.
O'Connor v. Consolidated Coin Caterers Corporation,95-354,Employees aged 40 or older can file an age discrimination lawsuit under the ADEA even if the person who replaced them is also 40 or older.
O'Connor v. Consolidated Coin Caterers Corporation,95-354,The ADEA does not require the replacement to be younger than 40 for an age discrimination claim to be valid.
O'Connor v. Consolidated Coin Caterers Corporation,95-354,"Replacing an older worker with someone significantly younger, even if that person is 40 or older, can still be considered age discrimination under the ADEA."
Jaffee v. Redmond,95-266,Psychotherapists cannot be forced to share what patients discussed in therapy during federal court cases.
Jaffee v. Redmond,95-266,Federal law keeps therapy sessions private and prevents them from being disclosed in court without the patient's consent.
Jaffee v. Redmond,95-266,Therapy conversations are protected from being used as evidence in federal court cases.
Carlisle v. United States,94-9247,Courts cannot grant a motion to overturn a guilty verdict if it is filed more than seven days after the jury's verdict.
Carlisle v. United States,94-9247,"The seven-day deadline for filing such a motion cannot be extended, even by a single day."
Carlisle v. United States,94-9247,A claim of innocence does not allow a court to accept a late motion to overturn a guilty verdict.
United States v. Armstrong,95-157,"To claim you were prosecuted because of your race, you must show that people of other races who did the same crime were not charged."
Lewis v. United States,95-6465,"If each individual criminal charge has a maximum sentence of six months or less, a defendant does not have a right to a jury trial even if the total possible prison time for all charges combined is more than six months."
Lewis v. United States,95-6465,"The right to a jury trial depends on the maximum sentence allowed for each separate charge, not the combined maximum sentence of all charges."
Shaw v. Hunt,94-923,"Only voters who live in a specific congressional district can challenge it for being drawn based on race, unless they can show they were placed in their district because of their race."
Shaw v. Hunt,94-923,Using race as the main factor in drawing congressional district lines is not allowed unless the government can prove there's a very important reason and that the lines are drawn as precisely as possible to meet that reason.
Shaw v. Hunt,94-923,"Creating districts primarily to have a majority of voters from a particular race is unconstitutional unless there's a specific, urgent need that can't be met without using race."
Shaw v. Hunt,94-923,Congressional districts with very irregular shapes that ignore natural or community boundaries may indicate that race was the main factor in their design.
Wisconsin v. City of New York,94-1614,The Constitution requires a population count every ten years to determine how many seats each state gets in Congress.
Wisconsin v. City of New York,94-1614,The Secretary of Commerce has the legal authority to decide how to conduct the census without court interference.
Wisconsin v. City of New York,94-1614,The law does not require adjusting census counts with statistical methods to correct undercounts of minority groups.
Wisconsin v. City of New York,94-1614,"When dividing congressional seats among states, the accuracy of population distribution across regions is more important than having a perfectly exact total count."
Wisconsin v. City of New York,94-1614,Census methods are not subject to the highest level of legal review unless there is proof of intentional discrimination against specific groups.
United States v. International Business Machines Corporation,95-591,The federal government cannot tax goods that are being exported from the U.S.
United States v. International Business Machines Corporation,95-591,Insurance premiums for exported goods cannot be taxed by the federal government.
United States v. International Business Machines Corporation,95-591,Taxes on insurance for products shipped overseas are prohibited by the U.S. Constitution.
Neal v. United States,94-9088,"For mandatory minimum sentences in LSD trafficking cases, federal law requires counting the total weight of the drug and any carrier material like blotter paper, not just the drug itself."
Neal v. United States,94-9088,"Federal statutes control how drug weight is calculated for mandatory minimum sentence thresholds, and the U.S. Sentencing Commission's guidelines do not apply in this context."
Holly Farms Corporation v. National Labor Relations Board,95-210,Workers who catch and transport chickens to processing plants are covered by federal labor laws.
Holly Farms Corporation v. National Labor Relations Board,95-210,Transporting animals to processing facilities does not exempt workers from federal labor law protections.
Holly Farms Corporation v. National Labor Relations Board,95-210,"Whether a worker is considered an agricultural laborer depends on their specific job duties, not just the industry they work in."
Holly Farms Corporation v. National Labor Relations Board,95-210,Employees who collect chickens from farms for processing are protected under federal labor laws.
Lewis v. Casey,94-1511,"Prisoners must prove that inadequate legal resources actually stopped them from filing a lawsuit, not just that the resources are poor."
Lewis v. Casey,94-1511,A prison's law library or legal help system is not illegal unless inmates show specific cases where they could not file due to those resources.
Lewis v. Casey,94-1511,Courts cannot decide prison legal resources violate constitutional rights without proof that inmates were harmed in accessing the courts.
Lewis v. Casey,94-1511,"The Constitution requires prisons to let inmates file legal papers, but does not demand perfect legal assistance or libraries."
Lewis v. Casey,94-1511,"Systemic issues with legal access require evidence that many inmates faced real problems filing their cases, not just a few isolated issues."
